Ngay,MoTa,Mintemp,Maxtemp,LuongMua,VGio,DoAm
THÁNG 4 5,Giông Bão Vào Buổi Sáng,21,25,50%,ĐB 18 km/giờ,77%
THÁNG 4 6,Rất nhiều mây,23,28,10%,ĐN 14 km/giờ,81%
THÁNG 4 7,Mây Vào Buổi Sáng / Nắng Vào Buổi Chiều,23,30,20%,ĐN 14 km/giờ,79%
THÁNG 4 8,Mây Vào Buổi Sáng / Nắng Vào Buổi Chiều,24,31,10%,ĐN 16 km/giờ,79%
THÁNG 4 9,Mây Vào Buổi Sáng / Nắng Vào Buổi Chiều,24,32,10%,ĐĐN 12 km/giờ,76%
THÁNG 4 10,Trời nắng,24,32,20%,ĐĐN 14 km/giờ,76%
THÁNG 4 11,Nhiều Mây,23,30,20%,Đ 14 km/giờ,78%
THÁNG 4 12,Giông Bão Vào Buổi Sáng,23,27,50%,Đ 13 km/giờ,81%
THÁNG 4 13,Giông Bão Vào Buổi Sáng,24,30,40%,ĐĐN 13 km/giờ,80%
THÁNG 4 14,Trời nắng,22,30,20%,ĐĐB 14 km/giờ,80%
THÁNG 4 15,Nhiều Mây,21,28,20%,ĐB 12 km/giờ,70%
THÁNG 4 16,Giông Bão Vào Buổi Sáng,21,27,40%,ĐĐB 12 km/giờ,73%
THÁNG 4 17,Nhiều mây,22,28,20%,Đ 13 km/giờ,74%
THÁNG 4 18,Giông Bão Vào Buổi Sáng,23,29,40%,Đ 14 km/giờ,75%
THÁNG 4 19,Giông Bão Cô Lập,22,29,30%,ĐĐB 12 km/giờ,76%
